Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
ODI # 1878,Sri Lanka,Netherlands,Winner1stInning,Colombo,"Sep 16, 2002",Sri Lanka,Sri Lanka,Home,Away,First,Second
ODI # 1879,Kenya,West Indies,Winner1stInning,Colombo,"Sep 17, 2002",West Indies,Sri Lanka,Neutral,Neutral,Second,First
ODI # 1880,England,Zimbabwe,Winner1stInning,Colombo,"Sep 18, 2002",England,Sri Lanka,Neutral,Neutral,First,Second
ODI # 1881,Australia,Bangladesh,Winner2ndInning,Colombo,"Sep 19, 2002",Australia,Sri Lanka,Neutral,Neutral,Second,First
ODI # 1882,Kenya,South Africa,Winner1stInning,Colombo,"Sep 20, 2002",South Africa,Sri Lanka,Neutral,Neutral,Second,First
ODI # 1883,Netherlands,Pakistan,Winner2ndInning,Colombo,"Sep 21, 2002",Pakistan,Sri Lanka,Neutral,Neutral,First,Second
ODI # 1884,England,India,Winner2ndInning,Colombo,"Sep 22, 2002",India,Sri Lanka,Neutral,Neutral,First,Second
ODI # 1885,Bangladesh,New Zealand,Winner1stInning,Colombo,"Sep 23, 2002",New Zealand,Sri Lanka,Neutral,Neutral,Second,First
ODI # 1886,India,South Africa,Winner1stInning,Colombo,"Sep 25, 2002",India,Sri Lanka,Neutral,Neutral,First,Second
ODI # 1887,Sri Lanka,Australia,Winner2ndInning,Colombo,"Sep 27, 2002",Sri Lanka,Sri Lanka,Home,Away,Second,First
ODI # 1890,South Africa,Bangladesh,Winner1stInning,Potchefstroom,"Oct 3, 2002",South Africa,South Africa,Home,Away,First,Second
ODI # 1891,South Africa,Bangladesh,Winner2ndInning,Benoni,"Oct 6, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1892,South Africa,Bangladesh,Winner2ndInning,Kimberley,"Oct 9, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1893,India,West Indies,Winner2ndInning,Jamshedpur,"Nov 6, 2002",West Indies,India,Home,Away,First,Second
ODI # 1894,India,West Indies,Winner2ndInning,Nagpur,"Nov 9, 2002",West Indies,India,Home,Away,First,Second
ODI # 1895,India,West Indies,Winner1stInning,Rajkot,"Nov 12, 2002",India,India,Home,Away,First,Second
ODI # 1896,India,West Indies,Winner2ndInning,Ahmedabad,"Nov 15, 2002",India,India,Home,Away,Second,First
ODI # 1897,India,West Indies,Winner2ndInning,Vadodara,"Nov 18, 2002",West Indies,India,Home,Away,First,Second
ODI # 1898,India,West Indies,Winner2ndInning,Jodhpur,"Nov 21, 2002",India,India,Home,Away,Second,First
ODI # 1899,Zimbabwe,Pakistan,Winner1stInning,Bulawayo,"Nov 23, 2002",Pakistan,Zimbabwe,Home,Away,Second,First
ODI # 1900,India,West Indies,Winner1stInning,Vijayawada,"Nov 24, 2002",West Indies,India,Home,Away,Second,First
ODI # 1901,Zimbabwe,Pakistan,Winner1stInning,Bulawayo,"Nov 24, 2002",Pakistan,Zimbabwe,Home,Away,Second,First
ODI # 1902,Zimbabwe,Pakistan,Winner1stInning,Harare,"Nov 27, 2002",Pakistan,Zimbabwe,Home,Away,Second,First
ODI # 1903,South Africa,Sri Lanka,Winner2ndInning,Johannesburg,"Nov 27, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1905,South Africa,Sri Lanka,Winner1stInning,Centurion,"Nov 29, 2002",South Africa,South Africa,Home,Away,First,Second
ODI # 1906,Zimbabwe,Pakistan,Winner2ndInning,Harare,"Nov 30, 2002",Pakistan,Zimbabwe,Home,Away,First,Second
ODI # 1907,Zimbabwe,Pakistan,Winner1stInning,Harare,"Dec 1, 2002",Pakistan,Zimbabwe,Home,Away,Second,First
ODI # 1908,South Africa,Sri Lanka,Winner2ndInning,Benoni,"Dec 1, 2002",Sri Lanka,South Africa,Home,Away,First,Second
ODI # 1909,Bangladesh,West Indies,Winner1stInning,Dhaka,"Dec 2, 2002",West Indies,Bangladesh,Home,Away,Second,First
ODI # 1910,Bangladesh,West Indies,Winner1stInning,Dhaka,"Dec 3, 2002",West Indies,Bangladesh,Home,Away,Second,First
ODI # 1911,South Africa,Sri Lanka,Winner2ndInning,Kimberley,"Dec 4, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1912,South Africa,Sri Lanka,Winner2ndInning,Bloemfontein,"Dec 6, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1914,South Africa,Pakistan,Winner1stInning,Durban,"Dec 8, 2002",South Africa,South Africa,Home,Away,First,Second
ODI # 1915,Zimbabwe,Kenya,Winner1stInning,Kwekwe,"Dec 11, 2002",Zimbabwe,Zimbabwe,Home,Away,First,Second
ODI # 1916,South Africa,Pakistan,Winner1stInning,Port Elizabeth,"Dec 11, 2002",Pakistan,South Africa,Home,Away,Second,First
ODI # 1917,Australia,England,Winner2ndInning,Sydney,"Dec 13, 2002",Australia,Australia,Home,Away,Second,First
ODI # 1918,South Africa,Pakistan,Winner1stInning,East London,"Dec 13, 2002",South Africa,South Africa,Home,Away,First,Second
ODI # 1919,Australia,England,Winner1stInning,Melbourne,"Dec 15, 2002",Australia,Australia,Home,Away,First,Second
ODI # 1920,Zimbabwe,Kenya,Winner2ndInning,Bulawayo,"Dec 15, 2002",Zimbabwe,Zimbabwe,Home,Away,Second,First
ODI # 1921,South Africa,Pakistan,Winner2ndInning,Paarl,"Dec 16, 2002",South Africa,South Africa,Home,Away,Second,First
ODI # 1922,England,Sri Lanka,Winner1stInning,Brisbane,"Dec 17, 2002",England,Australia,Neutral,Neutral,First,Second
ODI # 1923,South Africa,Pakistan,Winner1stInning,Cape Town,"Dec 18, 2002",South Africa,South Africa,Home,Away,First,Second
ODI # 1924,England,Sri Lanka,Winner1stInning,Perth,"Dec 20, 2002",England,Australia,Neutral,Neutral,First,Second
ODI # 1925,Australia,Sri Lanka,Winner1stInning,Perth,"Dec 22, 2002",Australia,Australia,Home,Away,First,Second
ODI # 1926,New Zealand,India,Winner2ndInning,Auckland,"Dec 26, 2002",New Zealand,New Zealand,Home,Away,Second,First
ODI # 1927,New Zealand,India,Winner1stInning,Napier,"Dec 29, 2002",New Zealand,New Zealand,Home,Away,First,Second
ODI # 1928,New Zealand,India,Winner2ndInning,Christchurch,"Jan 1, 2003",New Zealand,New Zealand,Home,Away,Second,First
ODI # 1929,New Zealand,India,Winner2ndInning,Queenstown,"Jan 4, 2003",New Zealand,New Zealand,Home,Away,Second,First
ODI # 1930,New Zealand,India,Winner2ndInning,Wellington,"Jan 8, 2003",India,New Zealand,Home,Away,First,Second
ODI # 1931,Australia,Sri Lanka,Winner1stInning,Sydney,"Jan 9, 2003",Sri Lanka,Australia,Home,Away,Second,First
ODI # 1932,Australia,England,Winner1stInning,Hobart,"Jan 11, 2003",Australia,Australia,Home,Away,First,Second
ODI # 1933,New Zealand,India,Winner2ndInning,Auckland,"Jan 11, 2003",India,New Zealand,Home,Away,First,Second
ODI # 1934,England,Sri Lanka,Winner1stInning,Sydney,"Jan 13, 2003",Sri Lanka,Australia,Neutral,Neutral,Second,First
ODI # 1935,New Zealand,India,Winner2ndInning,Hamilton,"Jan 14, 2003",New Zealand,New Zealand,Home,Away,Second,First
ODI # 1936,Australia,Sri Lanka,Winner2ndInning,Brisbane,"Jan 15, 2003",Australia,Australia,Home,Away,Second,First
ODI # 1937,England,Sri Lanka,Winner1stInning,Adelaide,"Jan 17, 2003",England,Australia,Neutral,Neutral,First,Second
ODI # 1938,Australia,England,Winner2ndInning,Adelaide,"Jan 19, 2003",Australia,Australia,Home,Away,Second,First
ODI # 1939,Australia,Sri Lanka,Winner2ndInning,Melbourne,"Jan 21, 2003",Australia,Australia,Home,Away,Second,First
ODI # 1940,Australia,England,Winner2ndInning,Sydney,"Jan 23, 2003",Australia,Australia,Home,Away,Second,First
ODI # 1941,Australia,England,Winner1stInning,Melbourne,"Jan 25, 2003",Australia,Australia,Home,Away,First,Second
ODI # 1942,South Africa,West Indies,Winner1stInning,Cape Town,"Feb 9, 2003",West Indies,South Africa,Home,Away,Second,First
ODI # 1943,Zimbabwe,Namibia,Winner1stInning,Harare,"Feb 10, 2003",Zimbabwe,Zimbabwe,Home,Away,First,Second
ODI # 1944,New Zealand,Sri Lanka,Winner1stInning,Bloemfontein,"Feb 10, 2003",Sri Lanka,South Africa,Neutral,Neutral,Second,First
ODI # 1945,Australia,Pakistan,Winner1stInning,Johannesburg,"Feb 11, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1946,Bangladesh,Canada,Winner1stInning,Durban,"Feb 11, 2003",Canada,South Africa,Neutral,Neutral,Second,First
ODI # 1947,South Africa,Kenya,Winner2ndInning,Potchefstroom,"Feb 12, 2003",South Africa,South Africa,Home,Away,Second,First
ODI # 1948,India,Netherlands,Winner1stInning,Paarl,"Feb 12, 2003",India,South Africa,Neutral,Neutral,First,Second
ODI # 1949,New Zealand,West Indies,Winner1stInning,Port Elizabeth,"Feb 13, 2003",New Zealand,South Africa,Neutral,Neutral,First,Second
ODI # 1950,Bangladesh,Sri Lanka,Winner2ndInning,Pietermaritzburg,"Feb 14, 2003",Sri Lanka,South Africa,Neutral,Neutral,First,Second
ODI # 1951,Australia,India,Winner2ndInning,Centurion,"Feb 15, 2003",Australia,South Africa,Neutral,Neutral,Second,First
ODI # 1952,Canada,Kenya,Winner2ndInning,Cape Town,"Feb 15, 2003",Kenya,South Africa,Neutral,Neutral,First,Second
ODI # 1953,England,Netherlands,Winner2ndInning,East London,"Feb 16, 2003",England,South Africa,Neutral,Neutral,Second,First
ODI # 1954,Namibia,Pakistan,Winner1stInning,Kimberley,"Feb 16, 2003",Pakistan,South Africa,Neutral,Neutral,Second,First
ODI # 1955,South Africa,New Zealand,Winner2ndInning,Johannesburg,"Feb 16, 2003",New Zealand,South Africa,Home,Away,First,Second
ODI # 1957,Zimbabwe,India,Winner1stInning,Harare,"Feb 19, 2003",India,Zimbabwe,Home,Away,Second,First
ODI # 1958,Canada,Sri Lanka,Winner2ndInning,Paarl,"Feb 19, 2003",Sri Lanka,South Africa,Neutral,Neutral,First,Second
ODI # 1959,England,Namibia,Winner1stInning,Port Elizabeth,"Feb 19, 2003",England,South Africa,Neutral,Neutral,First,Second
ODI # 1960,Australia,Netherlands,Winner1stInning,Potchefstroom,"Feb 20, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1961,South Africa,Bangladesh,Winner2ndInning,Bloemfontein,"Feb 22, 2003",South Africa,South Africa,Home,Away,Second,First
ODI # 1962,England,Pakistan,Winner1stInning,Cape Town,"Feb 22, 2003",England,South Africa,Neutral,Neutral,First,Second
ODI # 1963,Canada,West Indies,Winner2ndInning,Centurion,"Feb 23, 2003",West Indies,South Africa,Neutral,Neutral,First,Second
ODI # 1964,India,Namibia,Winner1stInning,Pietermaritzburg,"Feb 23, 2003",India,South Africa,Neutral,Neutral,First,Second
ODI # 1965,Kenya,Sri Lanka,Winner1stInning,Nairobi,"Feb 24, 2003",Kenya,Kenya,Home,Away,First,Second
ODI # 1966,Zimbabwe,Australia,Winner2ndInning,Bulawayo,"Feb 24, 2003",Australia,Zimbabwe,Home,Away,First,Second
ODI # 1967,Netherlands,Pakistan,Winner1stInning,Paarl,"Feb 25, 2003",Pakistan,South Africa,Neutral,Neutral,Second,First
ODI # 1968,Bangladesh,New Zealand,Winner2ndInning,Kimberley,"Feb 26, 2003",New Zealand,South Africa,Neutral,Neutral,First,Second
ODI # 1969,England,India,Winner1stInning,Durban,"Feb 26, 2003",India,South Africa,Neutral,Neutral,Second,First
ODI # 1970,Australia,Namibia,Winner1stInning,Potchefstroom,"Feb 27, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1971,South Africa,Canada,Winner1stInning,East London,"Feb 27, 2003",South Africa,South Africa,Home,Away,First,Second
ODI # 1972,Zimbabwe,Netherlands,Winner1stInning,Bulawayo,"Feb 28, 2003",Zimbabwe,Zimbabwe,Home,Away,First,Second
ODI # 1973,Sri Lanka,West Indies,Winner1stInning,Cape Town,"Feb 28, 2003",Sri Lanka,South Africa,Neutral,Neutral,First,Second
ODI # 1974,Bangladesh,Kenya,Winner1stInning,Johannesburg,"Mar 1, 2003",Kenya,South Africa,Neutral,Neutral,Second,First
ODI # 1975,India,Pakistan,Winner2ndInning,Centurion,"Mar 1, 2003",India,South Africa,Neutral,Neutral,Second,First
ODI # 1976,Australia,England,Winner2ndInning,Port Elizabeth,"Mar 2, 2003",Australia,South Africa,Neutral,Neutral,Second,First
ODI # 1977,Canada,New Zealand,Winner2ndInning,Benoni,"Mar 3, 2003",New Zealand,South Africa,Neutral,Neutral,First,Second
ODI # 1978,Namibia,Netherlands,Winner1stInning,Bloemfontein,"Mar 3, 2003",Netherlands,South Africa,Neutral,Neutral,Second,First
ODI # 1981,Kenya,West Indies,Winner1stInning,Kimberley,"Mar 4, 2003",West Indies,South Africa,Neutral,Neutral,Second,First
ODI # 1982,Australia,Sri Lanka,Winner1stInning,Centurion,"Mar 7, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1983,India,Kenya,Winner2ndInning,Cape Town,"Mar 7, 2003",India,South Africa,Neutral,Neutral,Second,First
ODI # 1984,New Zealand,Zimbabwe,Winner2ndInning,Bloemfontein,"Mar 8, 2003",New Zealand,South Africa,Neutral,Neutral,Second,First
ODI # 1985,India,Sri Lanka,Winner1stInning,Johannesburg,"Mar 10, 2003",India,South Africa,Neutral,Neutral,First,Second
ODI # 1986,Australia,New Zealand,Winner1stInning,Port Elizabeth,"Mar 11, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1987,Kenya,Zimbabwe,Winner2ndInning,Bloemfontein,"Mar 12, 2003",Kenya,South Africa,Neutral,Neutral,Second,First
ODI # 1988,India,New Zealand,Winner2ndInning,Centurion,"Mar 14, 2003",India,South Africa,Neutral,Neutral,Second,First
ODI # 1989,Sri Lanka,Zimbabwe,Winner1stInning,East London,"Mar 15, 2003",Sri Lanka,South Africa,Neutral,Neutral,First,Second
ODI # 1990,Australia,Kenya,Winner2ndInning,Durban,"Mar 15, 2003",Australia,South Africa,Neutral,Neutral,Second,First
ODI # 1991,Australia,Sri Lanka,Winner1stInning,Port Elizabeth,"Mar 18, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1992,India,Kenya,Winner1stInning,Durban,"Mar 20, 2003",India,South Africa,Neutral,Neutral,First,Second
ODI # 1993,Australia,India,Winner1stInning,Johannesburg,"Mar 23, 2003",Australia,South Africa,Neutral,Neutral,First,Second
ODI # 1994,Pakistan,Zimbabwe,Winner1stInning,Sharjah,"Apr 3, 2003",Pakistan,U.A.E.,Neutral,Neutral,First,Second
ODI # 1995,Pakistan,Sri Lanka,Winner2ndInning,Sharjah,"Apr 4, 2003",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 1996,Kenya,Zimbabwe,Winner2ndInning,Sharjah,"Apr 5, 2003",Zimbabwe,U.A.E.,Neutral,Neutral,First,Second
ODI # 1997,Kenya,Sri Lanka,Winner1stInning,Sharjah,"Apr 6, 2003",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First
ODI # 1998,Sri Lanka,Zimbabwe,Winner2ndInning,Sharjah,"Apr 7, 2003",Zimbabwe,U.A.E.,Neutral,Neutral,First,Second
ODI # 1999,Kenya,Pakistan,Winner1stInning,Sharjah,"Apr 8, 2003",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 2000,Pakistan,Zimbabwe,Winner2ndInning,Sharjah,"Apr 10, 2003",Pakistan,U.A.E.,Neutral,Neutral,Second,First
ODI # 2001,Bangladesh,India,Winner1stInning,Dhaka,"Apr 11, 2003",India,Bangladesh,Home,Away,Second,First
ODI # 2002,India,South Africa,Winner1stInning,Dhaka,"Apr 13, 2003",India,Bangladesh,Neutral,Neutral,First,Second
ODI # 2003,Bangladesh,South Africa,Winner1stInning,Dhaka,"Apr 14, 2003",South Africa,Bangladesh,Home,Away,Second,First
ODI # 2004,Bangladesh,India,Winner2ndInning,Dhaka,"Apr 16, 2003",India,Bangladesh,Home,Away,First,Second
ODI # 2005,Bangladesh,South Africa,Winner1stInning,Dhaka,"Apr 17, 2003",South Africa,Bangladesh,Home,Away,Second,First
ODI # 2006,India,South Africa,Winner2ndInning,Dhaka,"Apr 18, 2003",South Africa,Bangladesh,Neutral,Neutral,First,Second
ODI # 2008,Sri Lanka,Pakistan,Winner1stInning,Dambulla,"May 10, 2003",Pakistan,Sri Lanka,Home,Away,Second,First
ODI # 2009,New Zealand,Pakistan,Winner2ndInning,Dambulla,"May 11, 2003",New Zealand,Sri Lanka,Neutral,Neutral,Second,First
ODI # 2010,Sri Lanka,New Zealand,Winner2ndInning,Dambulla,"May 13, 2003",Sri Lanka,Sri Lanka,Home,Away,Second,First
ODI # 2011,West Indies,Australia,Winner1stInning,Kingston,"May 17, 2003",Australia,West Indies,Home,Away,Second,First
ODI # 2012,Sri Lanka,Pakistan,Winner1stInning,Dambulla,"May 18, 2003",Sri Lanka,Sri Lanka,Home,Away,First,Second
ODI # 2013,West Indies,Australia,Winner2ndInning,Kingston,"May 18, 2003",Australia,West Indies,Home,Away,First,Second
ODI # 2014,Sri Lanka,New Zealand,Winner1stInning,Dambulla,"May 19, 2003",New Zealand,Sri Lanka,Home,Away,Second,First
ODI # 2015,New Zealand,Pakistan,Winner1stInning,Dambulla,"May 20, 2003",Pakistan,Sri Lanka,Neutral,Neutral,Second,First
ODI # 2016,West Indies,Australia,Winner1stInning,Gros Islet,"May 21, 2003",Australia,West Indies,Home,Away,Second,First
ODI # 2017,New Zealand,Pakistan,Winner2ndInning,Dambulla,"May 23, 2003",New Zealand,Sri Lanka,Neutral,Neutral,Second,First
ODI # 2018,West Indies,Australia,Winner1stInning,Port of Spain,"May 24, 2003",Australia,West Indies,Home,Away,Second,First
ODI # 2019,West Indies,Australia,Winner1stInning,Port of Spain,"May 25, 2003",West Indies,West Indies,Home,Away,First,Second
ODI # 2020,West Indies,Australia,Winner2ndInning,St George's,"May 30, 2003",West Indies,West Indies,Home,Away,Second,First
ODI # 2021,West Indies,Australia,Winner2ndInning,St George's,"Jun 1, 2003",West Indies,West Indies,Home,Away,Second,First
ODI # 2022,West Indies,Sri Lanka,Winner1stInning,Bridgetown,"Jun 7, 2003",Sri Lanka,West Indies,Home,Away,Second,First
ODI # 2023,West Indies,Sri Lanka,Winner2ndInning,Bridgetown,"Jun 8, 2003",Sri Lanka,West Indies,Home,Away,First,Second
ODI # 2024,West Indies,Sri Lanka,Winner2ndInning,Kingstown,"Jun 11, 2003",West Indies,West Indies,Home,Away,Second,First
ODI # 2025,England,Pakistan,Winner2ndInning,Manchester,"Jun 17, 2003",Pakistan,England,Home,Away,First,Second
ODI # 2026,England,Pakistan,Winner2ndInning,The Oval,"Jun 20, 2003",England,England,Home,Away,Second,First
ODI # 2027,England,Pakistan,Winner2ndInning,Lord's,"Jun 22, 2003",England,England,Home,Away,Second,First
ODI # 2028,England,Zimbabwe,Winner2ndInning,Nottingham,"Jun 26, 2003",Zimbabwe,England,Home,Away,First,Second
ODI # 2029,England,South Africa,Winner2ndInning,The Oval,"Jun 28, 2003",England,England,Home,Away,Second,First
ODI # 2030,South Africa,Zimbabwe,Winner1stInning,Canterbury,"Jun 29, 2003",South Africa,England,Neutral,Neutral,First,Second
ODI # 2032,England,South Africa,Winner2ndInning,Manchester,"Jul 3, 2003",South Africa,England,Home,Away,First,Second
ODI # 2033,South Africa,Zimbabwe,Winner2ndInning,Cardiff,"Jul 5, 2003",South Africa,England,Neutral,Neutral,Second,First
ODI # 2034,England,Zimbabwe,Winner2ndInning,Bristol,"Jul 6, 2003",England,England,Home,Away,Second,First
ODI # 2035,England,South Africa,Winner2ndInning,Birmingham,"Jul 8, 2003",England,England,Home,Away,Second,First
ODI # 2036,South Africa,Zimbabwe,Winner2ndInning,Southampton,"Jul 10, 2003",South Africa,England,Neutral,Neutral,Second,First
ODI # 2037,England,South Africa,Winner2ndInning,Lord's,"Jul 12, 2003",England,England,Home,Away,Second,First
ODI # 2038,Australia,Bangladesh,Winner2ndInning,Cairns,"Aug 2, 2003",Australia,Australia,Home,Away,Second,First
ODI # 2039,Australia,Bangladesh,Winner2ndInning,Cairns,"Aug 3, 2003",Australia,Australia,Home,Away,Second,First
ODI # 2040,Australia,Bangladesh,Winner1stInning,Darwin,"Aug 6, 2003",Australia,Australia,Home,Away,First,Second
ODI # 2041,Pakistan,Bangladesh,Winner1stInning,Multan,"Sep 9, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2042,Pakistan,Bangladesh,Winner1stInning,Faisalabad,"Sep 12, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2043,Pakistan,Bangladesh,Winner1stInning,Lahore,"Sep 15, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2044,Pakistan,Bangladesh,Winner2ndInning,Rawalpindi,"Sep 18, 2003",Pakistan,Pakistan,Home,Away,Second,First
ODI # 2045,Pakistan,Bangladesh,Winner1stInning,Karachi,"Sep 21, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2046,Pakistan,South Africa,Winner1stInning,Lahore,"Oct 3, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2047,Pakistan,South Africa,Winner1stInning,Lahore,"Oct 5, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2048,Pakistan,South Africa,Winner1stInning,Faisalabad,"Oct 7, 2003",South Africa,Pakistan,Home,Away,Second,First
ODI # 2049,Pakistan,South Africa,Winner2ndInning,Rawalpindi,"Oct 10, 2003",South Africa,Pakistan,Home,Away,First,Second
ODI # 2050,Pakistan,South Africa,Winner2ndInning,Rawalpindi,"Oct 12, 2003",South Africa,Pakistan,Home,Away,First,Second
ODI # 2052,India,Australia,Winner1stInning,Gwalior,"Oct 26, 2003",India,India,Home,Away,First,Second
ODI # 2053,Australia,New Zealand,Winner2ndInning,Faridabad,"Oct 29, 2003",Australia,India,Neutral,Neutral,Second,First
ODI # 2054,India,Australia,Winner1stInning,Mumbai,"Nov 1, 2003",Australia,India,Home,Away,Second,First
ODI # 2055,Australia,New Zealand,Winner2ndInning,Pune,"Nov 3, 2003",Australia,India,Neutral,Neutral,Second,First
ODI # 2056,India,New Zealand,Winner2ndInning,Cuttack,"Nov 6, 2003",New Zealand,India,Home,Away,First,Second
ODI # 2057,Bangladesh,England,Winner2ndInning,Chittagong,"Nov 7, 2003",England,Bangladesh,Home,Away,First,Second
ODI # 2058,Australia,New Zealand,Winner1stInning,Guwahati,"Nov 9, 2003",Australia,India,Neutral,Neutral,First,Second
ODI # 2059,Bangladesh,England,Winner2ndInning,Dhaka,"Nov 10, 2003",England,Bangladesh,Home,Away,First,Second
ODI # 2060,Bangladesh,England,Winner2ndInning,Dhaka,"Nov 12, 2003",England,Bangladesh,Home,Away,First,Second
ODI # 2061,India,Australia,Winner1stInning,Bengaluru,"Nov 12, 2003",Australia,India,Home,Away,Second,First
ODI # 2062,India,New Zealand,Winner1stInning,Hyderabad,"Nov 15, 2003",India,India,Home,Away,First,Second
ODI # 2063,Sri Lanka,England,Winner2ndInning,Dambulla,"Nov 18, 2003",Sri Lanka,Sri Lanka,Home,Away,Second,First
ODI # 2064,India,Australia,Winner1stInning,Kolkata,"Nov 18, 2003",Australia,India,Home,Away,Second,First
ODI # 2065,Zimbabwe,West Indies,Winner1stInning,Bulawayo,"Nov 22, 2003",West Indies,Zimbabwe,Home,Away,Second,First
ODI # 2066,Zimbabwe,West Indies,Winner2ndInning,Bulawayo,"Nov 23, 2003",Zimbabwe,Zimbabwe,Home,Away,Second,First
ODI # 2067,Zimbabwe,West Indies,Winner1stInning,Harare,"Nov 26, 2003",Zimbabwe,Zimbabwe,Home,Away,First,Second
ODI # 2069,Zimbabwe,West Indies,Winner1stInning,Harare,"Nov 29, 2003",West Indies,Zimbabwe,Home,Away,Second,First
ODI # 2068,Pakistan,New Zealand,Winner2ndInning,Lahore,"Nov 29, 2003",Pakistan,Pakistan,Home,Away,Second,First
ODI # 2070,Zimbabwe,West Indies,Winner2ndInning,Harare,"Nov 30, 2003",West Indies,Zimbabwe,Home,Away,First,Second
ODI # 2071,Pakistan,New Zealand,Winner1stInning,Lahore,"Dec 1, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2072,Pakistan,New Zealand,Winner1stInning,Faisalabad,"Dec 3, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2073,Pakistan,New Zealand,Winner2ndInning,Rawalpindi,"Dec 5, 2003",Pakistan,Pakistan,Home,Away,Second,First
ODI # 2074,Pakistan,New Zealand,Winner1stInning,Rawalpindi,"Dec 7, 2003",Pakistan,Pakistan,Home,Away,First,Second
ODI # 2075,New Zealand,Pakistan,Winner2ndInning,Auckland,"Jan 3, 2004",New Zealand,New Zealand,Home,Away,Second,First
ODI # 2076,New Zealand,Pakistan,Winner2ndInning,Queenstown,"Jan 7, 2004",Pakistan,New Zealand,Home,Away,First,Second
ODI # 2077,Australia,India,Winner1stInning,Melbourne,"Jan 9, 2004",Australia,Australia,Home,Away,First,Second
ODI # 2078,New Zealand,Pakistan,Winner2ndInning,Christchurch,"Jan 10, 2004",New Zealand,New Zealand,Home,Away,Second,First
ODI # 2079,Australia,Zimbabwe,Winner1stInning,Sydney,"Jan 11, 2004",Australia,Australia,Home,Away,First,Second
ODI # 2081,New Zealand,Pakistan,Winner2ndInning,Napier,"Jan 14, 2004",New Zealand,New Zealand,Home,Away,Second,First
ODI # 2080,India,Zimbabwe,Winner2ndInning,Hobart,"Jan 14, 2004",India,Australia,Neutral,Neutral,Second,First
ODI # 2082,Australia,Zimbabwe,Winner1stInning,Hobart,"Jan 16, 2004",Australia,Australia,Home,Away,First,Second
ODI # 2083,New Zealand,Pakistan,Winner1stInning,Wellington,"Jan 17, 2004",New Zealand,New Zealand,Home,Away,First,Second
ODI # 2084,Australia,India,Winner1stInning,Brisbane,"Jan 18, 2004",India,Australia,Home,Away,Second,First
ODI # 2085,India,Zimbabwe,Winner1stInning,Brisbane,"Jan 20, 2004",India,Australia,Neutral,Neutral,First,Second
ODI # 2086,Australia,India,Winner2ndInning,Sydney,"Jan 22, 2004",Australia,Australia,Home,Away,Second,First
ODI # 2087,India,Zimbabwe,Winner1stInning,Adelaide,"Jan 24, 2004",India,Australia,Neutral,Neutral,First,Second
ODI # 2088,South Africa,West Indies,Winner1stInning,Cape Town,"Jan 25, 2004",South Africa,South Africa,Home,Away,First,Second
ODI # 2089,Australia,Zimbabwe,Winner1stInning,Adelaide,"Jan 26, 2004",Australia,Australia,Home,Away,First,Second
ODI # 2090,South Africa,West Indies,Winner1stInning,Port Elizabeth,"Jan 28, 2004",South Africa,South Africa,Home,Away,First,Second
ODI # 2093,Australia,India,Winner2ndInning,Perth,"Feb 1, 2004",Australia,Australia,Home,Away,Second,First
ODI # 2094,South Africa,West Indies,Winner2ndInning,Centurion,"Feb 1, 2004",West Indies,South Africa,Home,Away,First,Second
ODI # 2095,India,Zimbabwe,Winner2ndInning,Perth,"Feb 3, 2004",India,Australia,Neutral,Neutral,Second,First
ODI # 2096,South Africa,West Indies,Winner2ndInning,Johannesburg,"Feb 4, 2004",South Africa,South Africa,Home,Away,Second,First
ODI # 2097,Australia,India,Winner2ndInning,Melbourne,"Feb 6, 2004",Australia,Australia,Home,Away,Second,First
ODI # 2098,Australia,India,Winner1stInning,Sydney,"Feb 8, 2004",Australia,Australia,Home,Away,First,Second
ODI # 2099,New Zealand,South Africa,Winner2ndInning,Auckland,"Feb 13, 2004",South Africa,New Zealand,Home,Away,First,Second
ODI # 2100,New Zealand,South Africa,Winner2ndInning,Christchurch,"Feb 17, 2004",New Zealand,New Zealand,Home,Away,Second,First
